Steward name,Validator alias,Node IP address,Node port,Client IP address,Client port,Validator verkey,Validator BLS key,Validator BLS POP,Steward DID,Steward verkey
Province of BC,prod-bc-aws-1,15.222.117.106,9701,3.99.18.165,9702,GcbxfBNxKwgzvy6ey1euDiBbPsA2mHVZWRbdq7ECpWG5,3qfV94xChtEV5kNXYs7fuj2SDNiygjDyf75CHagzzjD4CAHtayUh25ZQm5ux4rC9cWguxAkLzNCJEhSgLPXWpLDoK1SSLrVbbfYwo7GaT3C2jiTPpRkZRV5eFMWKNdL3duvFputG9PUVq3c5eieAqyfoq9PNpQGkRucFFwyb97eKY1i,Qp4VoCpuff4b3LH9TN6CfAKb9CtSm5SZ724kZBwAQmy3hX6VNFreL26Xv7fjHM4oxQpED5zcjNiGP5Tvfa6LmAojfuoQVNK9um5gVsWHKfm3eC7gXWpBFoEJ4QAgheLfSqT9e7mN7t46gy22Z6fybFF66MwZimCXDP8FbbeD6WsrJ3,79C8rWBXz1KeSRDpR7aHH2,4M8vzqvQzuzr16AQg9gCHiQss5o6FsBooE8KeRJRGCB2
Province of BC,prod-bc-aws-2,15.222.92.217,9701,3.96.241.187,9702,7QuMQyqQo7vsrd4pCqgjyNRGuZKn235WmN9eXo4GSeqM,38UXyvyzCQgF8bLuqzAEyqMUa9aJtFBQ5Q9dVRspdx3csT5SEQrM1XToe6LrLVJvX3Z3a5AzL1xmK88NfDkW6LhS1PoJb1gkFRuhNVzcVu9Wo4rmEnYmHE5EL1tFiNhF54S6y5jZtePZRjcajY5BvqSnMvPFobRJgt6um6y9HqeLf4X,QsSpx5nPCG93RZEJLB5uNPwj9PPMEeiFLMyxD3u4iKnoWDzuTDGHnyAyR8HRyHWUYaT6mXwrX7PAhAxeZew7dPQNK1vi7UmJByRnv6H6MvCeFvhDWf7KdAwqVsAf4BqwvBbCq1wokn6LKigBrp4e4NUPw4eMye7bEUstmJRXWB5nSb,MF8Y6etnBrc8yyRnJdauo1,C2wZb9AVyRyk2thm68CrHHZpcMpwzBR5uLeTUuiB4Uxw
Province of BC,prod-bc-aws-3,3.97.54.159,9701,52.60.101.176,9702,57z2fsNKTvP8Nx1Z8h5a9ZT8ddT3anCXyzTqkqyiNPar,2XtLxDriikMSewUjC2bqhWftah5xQm98YgMi4wGWV7bn6AUwg85g4BbRXsZtJt5aT1eEYZesqHBKV6JKyqY4itr8soJiaA9oMhSqoSyGxf3Tpg2vZsMqq5ABa4sTVkRmUvVCbfmeoj9SMGYLFKHSAsyxktLKS8qr9TTit3qK9S7FJzx,R486qy5P8tATbsMTHUS8dqcNaemZW3FoCigtwtHSyyUiYC2tuxHA2taCb2uXYEuvepCZ2bYWNdZ9kdxypiUHuA1N4scrkmyUSx39MZqG5Pi3TVfcsnsqNqnnD2GHgdYhPuZVsG1pRBBVF4s1Kb1wEgNJfJ8hUAKuPCvuiUrH3N7KR9,J5S3ZQKXD8HJHcSUMfkVqb,AJpW6GeGbeGmaUFUhhyvKGoVVNSx1vyCMxpoiVPcRyfc
Province of BC,prod-bc-aws-4,3.98.163.7,9701,3.98.68.128,9702,7TeBC5gZRqnnkqi9F7hYNpw6wBCcF9cD38oD9oeZucg2,3kYP1p31nEoiHWMdFurcQoaCp6HbbwAzbMk5uBi7bQ2xL6DTvi6AFDfTFx9fRExPTW7PT1tQZGPVSRH4B5dFh8TGFaF7QRY8AcXZ2JK9qBW2oMjLT6whUJpXoJBR9uSRa3b89xJzxePLhg9cfYW2QU3ZGmp1dAY1ZYYuzdbP9vTwcFA,Qq77x1uUjyoGNCoAo8ujFtdFp4bsaCK7f5hSYGMXi8ASdwFSKsn8eZrv85LZyt4DaG7zCB5G5zxFZTehyWk4QdZF5vCEHx8dBDvRvyUphijix6ZL2guMVNoMRzWwLFKdpEkYg1UTo7Eygv64dQrfpRUbfWeZTXZVsCPTVpuuYJ2ucj,FmZVB7wHUuLoPxaLdGkBgL,93rZ6V1PhSuoyAbru4iCgV3zrrxefeJoghiML2kiy59o
